file_name,repo_name,file_path,file_url,commit_sha,p_language,actual_status,process_status
pom.xml,magenta-aps/datafordeler-core,pom.xml,/magenta-aps/datafordeler-core/blob/3b9ada149c2389681f77e3475e04ff5811702da6/pom.xml,3b9ada149c2389681f77e3475e04ff5811702da6,Maven POM,0,0
pom.xml,kute/purejavatest,pom.xml,/kute/purejavatest/blob/beadad7a5e2609dafeb4650dfa8460fa4430c1dc/pom.xml,beadad7a5e2609dafeb4650dfa8460fa4430c1dc,Maven POM,1,0
pom.xml,amitkurud/backend,pom.xml,/amitkurud/backend/blob/faa421dd813b97da8068ea8dd8c88a87b48e7e33/pom.xml,faa421dd813b97da8068ea8dd8c88a87b48e7e33,Maven POM,0,0
pom.xml,sean3112/safami-dependencies,pom.xml,/sean3112/safami-dependencies/blob/c13453d16702338f545767c0c38cbcd6c519e4b5/pom.xml,c13453d16702338f545767c0c38cbcd6c519e4b5,Maven POM,0,0
pom.xml,msanti04/ddf-yorktown-test,features/security/pom.xml,/msanti04/ddf-yorktown-test/blob/e6c312b144b19a7e66551060596687608e42d86a/features/security/pom.xml,e6c312b144b19a7e66551060596687608e42d86a,Maven POM,1,0
pom.xml,Jacob-Jay/Resource,platform-soa/pom.xml,/Jacob-Jay/Resource/blob/41147aa8ee30e8194cfafa3dff14ea5bf69aa9c9/platform-soa/pom.xml,41147aa8ee30e8194cfafa3dff14ea5bf69aa9c9,Maven POM,1,0
build.gradle,ArcBlock/forge-java-sdk,core/build.gradle,/ArcBlock/forge-java-sdk/blob/990331665347d9f3eedf3995fd5684e0834a1f50/core/build.gradle,990331665347d9f3eedf3995fd5684e0834a1f50,Gradle,1,0
pom.xml,gumutianqi/weteam-dependencies,pom.xml,/gumutianqi/weteam-dependencies/blob/8c60029d3b25017464909023f1e1393e92d6e001/pom.xml,8c60029d3b25017464909023f1e1393e92d6e001,Maven POM,0,0
pom.xml,ciphergateway/securityinjava,securityinjava-ssm/pom.xml,/ciphergateway/securityinjava/blob/dd58d99dca593406ccd5b4c1129fbedb31a26858/securityinjava-ssm/pom.xml,dd58d99dca593406ccd5b4c1129fbedb31a26858,Maven POM,1,0
pom.xml,codice/ddf,features/security/pom.xml,/codice/ddf/blob/5b5418c6ead0d3209c61449789a83d66723a6a72/features/security/pom.xml,5b5418c6ead0d3209c61449789a83d66723a6a72,Maven POM,0,0
pom.xml,gumutianqi/lakex-dependencies,pom.xml,/gumutianqi/lakex-dependencies/blob/2f2b901e6d1e9218a55888e00c41d8813593d0c2/pom.xml,2f2b901e6d1e9218a55888e00c41d8813593d0c2,Maven POM,0,0
pom.xml,ioootech/coco,iooo-boot-project/iooo-boot-dependencies/pom.xml,/ioootech/coco/blob/f73ea4bd0cc04d2a2a3ef188726c60299558f28e/iooo-boot-project/iooo-boot-dependencies/pom.xml,f73ea4bd0cc04d2a2a3ef188726c60299558f28e,Maven POM,0,0
pom.xml,gravitee-io/graviteeio-access-management,pom.xml,/gravitee-io/graviteeio-access-management/blob/91c756be907fe179d2cbb257f047e4799358a899/pom.xml,91c756be907fe179d2cbb257f047e4799358a899,Maven POM,0,0
build.gradle,shimingxy/MaxKey,build.gradle,/shimingxy/MaxKey/blob/bb8b55cf9f3c1bc5638975e0076ae9ff6d8d0d59/build.gradle,bb8b55cf9f3c1bc5638975e0076ae9ff6d8d0d59,Gradle,0,0
pom.xml,dneht/stand,pom.xml,/dneht/stand/blob/5b721546527f9af150c441cba8e8aa7dca5884af/pom.xml,5b721546527f9af150c441cba8e8aa7dca5884af,Maven POM,1,1
pom.xml,odpi/egeria,pom.xml,/odpi/egeria/blob/0a11b2d5adb0196222d370c4c33a920ca08343d0/pom.xml,0a11b2d5adb0196222d370c4c33a920ca08343d0,Maven POM,0,0
